,area_type,location,total_sqft,bath,balcony,price,bhk
2450,Plot  Area,Gottigere,812.0,1.0,1.0,26.0,1
2451,Super built-up  Area,Gottigere,990.0,2.0,1.0,40.0,2
2452,Super built-up  Area,Gottigere,1235.0,2.0,2.0,63.0,2
2453,Super built-up  Area,Gottigere,1385.0,3.0,2.0,64.0,3
2454,Super built-up  Area,Gottigere,1000.0,2.0,1.0,35.0,2
2455,Super built-up  Area,Gottigere,1010.0,2.0,1.0,35.0,2
2458,Super built-up  Area,Gottigere,1435.0,2.0,3.0,62.0,3
2459,Built-up  Area,Gottigere,945.0,2.0,0.0,45.0,2
2461,Plot  Area,Gottigere,2500.0,3.0,2.0,120.0,4
2462,Super built-up  Area,Gottigere,1230.0,2.0,2.0,52.0,3
2463,Super built-up  Area,Gottigere,1120.0,2.0,2.0,50.0,2
2464,Super built-up  Area,Gottigere,1500.0,3.0,2.0,63.0,3
2465,Super built-up  Area,Gottigere,1200.0,2.0,3.0,40.0,2
2466,Super built-up  Area,Gottigere,1280.0,2.0,1.0,61.0,2
2467,Super built-up  Area,Gottigere,1205.0,2.0,1.0,56.58,2
2468,Super built-up  Area,Gottigere,1170.0,2.0,2.0,40.0,2
2469,Built-up  Area,Gottigere,3000.0,3.0,0.0,132.0,4
2470,Super built-up  Area,Gottigere,1613.0,3.0,3.0,72.0,3
2471,Super built-up  Area,Gottigere,1110.0,2.0,2.0,36.25,2
2472,Super built-up  Area,Gottigere,1245.0,2.0,2.0,59.0,2
2473,Super built-up  Area,Gottigere,1200.0,2.0,2.0,50.0,2
2474,Built-up  Area,Green Glen Layout,1670.0,3.0,2.0,120.0,3
2475,Super built-up  Area,Green Glen Layout,3250.0,4.0,3.0,230.0,4
2476,Super built-up  Area,Green Glen Layout,1776.42,3.0,2.0,105.0,3
2477,Super built-up  Area,Green Glen Layout,3250.0,4.0,2.0,230.0,4
2478,Built-up  Area,Green Glen Layout,940.0,2.0,1.0,56.8,2
2479,Built-up  Area,Green Glen Layout,1075.0,2.0,1.0,60.0,2
2480,Super built-up  Area,Green Glen Layout,1715.0,3.0,2.0,115.0,3
2481,Super built-up  Area,Green Glen Layout,1751.0,2.0,1.0,115.0,3
2482,Super built-up  Area,Green Glen Layout,1750.0,3.0,2.0,130.0,3
2483,Super built-up  Area,Green Glen Layout,1530.0,3.0,2.0,105.0,3
2484,Super built-up  Area,Green Glen Layout,1752.0,3.0,2.0,105.0,3
2485,Super built-up  Area,Green Glen Layout,1680.0,4.0,3.0,95.0,3
2486,Super built-up  Area,Green Glen Layout,1728.0,3.0,2.0,125.0,3
2487,Super built-up  Area,Green Glen Layout,1645.0,3.0,2.0,110.0,3
2488,Super built-up  Area,Green Glen Layout,1517.0,3.0,3.0,100.0,3
2489,Super built-up  Area,Green Glen Layout,3150.0,4.0,3.0,218.0,4
2491,Super built-up  Area,Green Glen Layout,1750.0,3.0,2.0,120.0,3
2492,Super built-up  Area,Green Glen Layout,1751.0,3.0,2.0,115.0,3
2493,Super built-up  Area,Green Glen Layout,1750.0,3.0,2.0,105.0,3
2494,Super built-up  Area,Green Glen Layout,1885.0,3.0,2.0,135.0,3
2495,Super built-up  Area,Green Glen Layout,1715.0,3.0,3.0,120.0,3
2496,Super built-up  Area,Green Glen Layout,1623.29,2.0,2.0,105.0,3
2497,Super built-up  Area,Green Glen Layout,1715.0,3.0,3.0,115.0,3
2498,Super built-up  Area,Green Glen Layout,1715.0,3.0,2.0,105.0,3
2499,Built-up  Area,Green Glen Layout,1600.0,3.0,3.0,105.0,3
2500,Super built-up  Area,Green Glen Layout,1717.0,3.0,3.0,125.0,3
2501,Built-up  Area,Green Glen Layout,1250.0,2.0,0.0,75.0,2
2502,Super built-up  Area,Green Glen Layout,1715.0,3.0,3.0,112.0,3
2503,Super built-up  Area,Gubbalala,1470.0,2.0,2.0,82.0,3
2504,Super built-up  Area,Gubbalala,1745.0,3.0,2.0,104.0,3
2505,Super built-up  Area,Gubbalala,1745.0,3.0,2.0,115.0,3
2506,Super built-up  Area,Gubbalala,1745.0,3.0,2.0,110.0,3
2507,Super built-up  Area,Gubbalala,1650.0,3.0,2.0,71.0,3
2508,Built-up  Area,Gubbalala,2570.0,4.0,2.0,141.0,5
2509,Super built-up  Area,Gubbalala,1205.0,2.0,2.0,70.0,2
2510,Super built-up  Area,Gubbalala,1435.0,2.0,2.0,80.0,3
2511,Super built-up  Area,Gubbalala,1475.0,2.0,2.0,80.0,2
2513,Super built-up  Area,Gubbalala,1100.0,2.0,2.0,49.5,2
2514,Super built-up  Area,Gubbalala,1060.0,2.0,1.0,46.0,2
2515,Super built-up  Area,Gubbalala,2000.0,3.0,3.0,125.0,3
2517,Super built-up  Area,Gunjur,1140.0,2.0,3.0,43.0,2
2518,Super built-up  Area,Gunjur,1356.0,2.0,3.0,66.0,3
2519,Built-up  Area,Gunjur,1600.0,3.0,3.0,75.0,3
2520,Plot  Area,Gunjur,2000.0,3.0,0.0,95.0,4
2521,Super built-up  Area,Gunjur,1140.0,2.0,2.0,49.11,2
2522,Super built-up  Area,Gunjur,1195.0,2.0,2.0,44.0,2
2523,Built-up  Area,Gunjur,1190.0,2.0,2.0,40.0,2
2524,Built-up  Area,Gunjur,1457.0,2.0,3.0,60.0,2
2525,Super built-up  Area,Gunjur,1080.0,2.0,2.0,41.0,2
2528,Super built-up  Area,Gunjur,1175.0,2.0,2.0,43.48,2
2529,Super built-up  Area,Gunjur,1362.0,3.0,2.0,62.63,3
2530,Super built-up  Area,Gunjur,1071.0,2.0,1.0,51.0,2
2531,Super built-up  Area,Gunjur,1063.0,2.0,2.0,40.0,2
2532,Super built-up  Area,Gunjur,1235.0,2.0,2.0,52.76,2
2533,Super built-up  Area,Gunjur,1362.0,3.0,1.0,62.63,3
2534,Super built-up  Area,Gunjur,1362.0,3.0,1.0,62.63,3
2535,Super built-up  Area,Gunjur,1588.0,2.0,3.0,90.0,3
2536,Super built-up  Area,Gunjur,1235.0,2.0,2.0,44.5,2
2537,Super built-up  Area,Gunjur,1457.0,2.0,3.0,60.0,2
2538,Super built-up  Area,HAL 2nd Stage,1490.0,2.0,2.0,300.0,3
2539,Plot  Area,HAL 2nd Stage,600.0,3.0,2.0,145.0,2
2540,Plot  Area,HAL 2nd Stage,2700.0,3.0,0.0,500.0,3
2541,Plot  Area,HAL 2nd Stage,2040.0,4.0,1.0,500.0,5
2542,Built-up  Area,HBR Layout,2800.0,2.0,0.0,200.0,3
2543,Super built-up  Area,HBR Layout,1722.0,3.0,2.0,95.0,3
2544,Plot  Area,HBR Layout,1200.0,4.0,0.0,120.0,4
2545,Super built-up  Area,HBR Layout,1200.0,2.0,2.0,60.0,2
2546,Super built-up  Area,HBR Layout,1004.0,2.0,1.0,49.0,2
2547,Built-up  Area,HBR Layout,1783.0,3.0,2.0,125.0,3
2548,Super built-up  Area,HBR Layout,1656.0,3.0,2.0,90.0,3
2549,Super built-up  Area,HBR Layout,1089.0,2.0,1.0,60.0,2
2550,Super built-up  Area,HBR Layout,1700.0,3.0,1.0,110.0,3
2551,Built-up  Area,HBR Layout,1198.0,2.0,1.0,65.0,2
2552,Plot  Area,HBR Layout,1200.0,4.0,2.0,115.0,4
2553,Built-up  Area,HBR Layout,1200.0,2.0,0.0,120.0,2
2554,Super built-up  Area,HBR Layout,1832.0,3.0,2.0,160.0,3
2555,Built-up  Area,HRBR Layout,1374.0,2.0,2.0,95.0,2
2556,Built-up  Area,HRBR Layout,1440.0,2.0,2.0,98.0,2
2558,Super built-up  Area,HRBR Layout,2800.0,3.0,2.0,250.0,3
2559,Super built-up  Area,HRBR Layout,1210.0,2.0,1.0,75.0,2
2560,Super built-up  Area,HRBR Layout,1265.0,2.0,1.0,78.0,2
2561,Super built-up  Area,HRBR Layout,1170.0,2.0,2.0,75.0,2
2563,Built-up  Area,HRBR Layout,1900.0,3.0,1.0,90.0,4
2564,Super built-up  Area,HRBR Layout,1625.0,3.0,2.0,120.0,3
2565,Super built-up  Area,HRBR Layout,1301.0,2.0,1.0,120.0,2
2566,Super built-up  Area,HRBR Layout,1145.0,2.0,2.0,68.5,2
2567,Built-up  Area,HRBR Layout,1300.0,2.0,3.0,90.0,2
2569,Super built-up  Area,HSR Layout,1372.0,2.0,1.0,68.0,2
2571,Super built-up  Area,HSR Layout,1475.0,3.0,2.0,75.0,3
2572,Built-up  Area,HSR Layout,1467.0,2.0,1.0,55.0,2
2573,Super built-up  Area,HSR Layout,1140.0,2.0,2.0,46.0,2
2574,Super built-up  Area,HSR Layout,1372.0,2.0,1.0,61.0,2
2575,Super built-up  Area,HSR Layout,1750.0,3.0,2.0,95.0,3
2577,Super built-up  Area,HSR Layout,1027.0,2.0,2.0,44.0,2
2578,Super built-up  Area,HSR Layout,1650.0,3.0,2.0,110.0,3
2579,Super built-up  Area,HSR Layout,1140.0,2.0,2.0,46.0,2
2580,Super built-up  Area,HSR Layout,1372.0,2.0,1.0,61.0,2
2581,Super built-up  Area,HSR Layout,1140.0,2.0,2.0,46.0,2
2582,Super built-up  Area,HSR Layout,1185.0,2.0,2.0,60.0,2
2583,Super built-up  Area,HSR Layout,1127.0,2.0,1.0,68.0,2
2584,Super built-up  Area,HSR Layout,1600.0,2.0,2.0,115.0,3
2585,Super built-up  Area,HSR Layout,1145.0,2.0,2.0,48.0,2
2586,Super built-up  Area,HSR Layout,1009.0,2.0,2.0,56.0,2
2587,Super built-up  Area,HSR Layout,1300.0,2.0,2.0,98.0,2
2589,Super built-up  Area,HSR Layout,1140.0,2.0,2.0,46.0,2
2590,Built-up  Area,HSR Layout,1126.0,2.0,1.0,69.0,2
2592,Super built-up  Area,HSR Layout,1140.0,2.0,2.0,46.0,2
2593,Super built-up  Area,HSR Layout,1145.0,2.0,2.0,46.0,2
2594,Super built-up  Area,HSR Layout,1142.0,2.0,2.0,65.0,2
2595,Super built-up  Area,HSR Layout,1145.0,2.0,2.0,46.0,2
2596,Super built-up  Area,HSR Layout,1844.0,3.0,3.0,95.0,3
2597,Built-up  Area,HSR Layout,1203.0,2.0,2.0,72.0,2
2598,Super built-up  Area,HSR Layout,1140.0,2.0,2.0,46.0,2
2599,Built-up  Area,HSR Layout,4200.0,5.0,2.0,245.0,5
2600,Super built-up  Area,HSR Layout,1140.0,2.0,2.0,46.0,2
2601,Super built-up  Area,HSR Layout,1145.0,2.0,2.0,46.0,2
2602,Super built-up  Area,HSR Layout,1009.0,2.0,2.0,56.0,2
2603,Built-up  Area,HSR Layout,1145.0,2.0,2.0,46.0,2
2604,Super built-up  Area,HSR Layout,1100.0,2.0,2.0,44.0,2
2605,Super built-up  Area,HSR Layout,1203.0,2.0,2.0,60.0,2
2606,Built-up  Area,HSR Layout,1120.0,2.0,1.0,70.0,2
2607,Super built-up  Area,HSR Layout,1140.0,2.0,2.0,46.0,2
2608,Super built-up  Area,HSR Layout,1289.0,2.0,2.0,70.0,2
2609,Super built-up  Area,HSR Layout,1844.0,3.0,1.0,89.0,3
2610,Built-up  Area,HSR Layout,1203.0,2.0,2.0,60.0,2
2611,Super built-up  Area,HSR Layout,1140.0,2.0,2.0,46.0,2
2612,Super built-up  Area,Haralur Road,1240.0,2.0,1.0,70.0,2
2613,Super built-up  Area,Haralur Road,1027.0,2.0,2.0,44.0,2
2616,Super built-up  Area,Haralur Road,1194.0,2.0,2.0,47.0,2
2617,Built-up  Area,Haralur Road,1202.0,2.0,1.0,53.0,2
2618,Super built-up  Area,Haralur Road,1056.0,2.0,1.0,61.0,2
2620,Super built-up  Area,Haralur Road,1810.0,3.0,2.0,100.0,3
2621,Super built-up  Area,Haralur Road,1194.0,2.0,2.0,46.0,2
2623,Super built-up  Area,Haralur Road,1225.0,2.0,1.0,67.38,2
2624,Super built-up  Area,Haralur Road,1243.0,2.0,1.0,46.0,2
2625,Super built-up  Area,Haralur Road,1027.0,2.0,2.0,44.0,2
2626,Super built-up  Area,Haralur Road,1920.0,3.0,1.0,115.0,3
2627,Super built-up  Area,Haralur Road,1875.0,3.0,2.0,110.0,3
2628,Super built-up  Area,Haralur Road,1194.0,2.0,2.0,47.0,2
2629,Super built-up  Area,Haralur Road,1140.0,2.0,2.0,43.0,2
2630,Super built-up  Area,Haralur Road,1027.0,2.0,2.0,44.0,2
2631,Super built-up  Area,Haralur Road,1194.0,2.0,2.0,46.0,2
2632,Super built-up  Area,Haralur Road,2017.0,3.0,2.0,125.0,3
2633,Super built-up  Area,Haralur Road,1140.0,2.0,2.0,43.0,2
2634,Super built-up  Area,Haralur Road,1875.0,3.0,3.0,110.0,3
2635,Super built-up  Area,Haralur Road,1092.0,2.0,2.0,44.0,2
2636,Super built-up  Area,Haralur Road,2475.0,4.0,2.0,130.0,3
2637,Super built-up  Area,Haralur Road,1300.0,2.0,2.0,73.0,2
2638,Super built-up  Area,Haralur Road,1194.0,2.0,2.0,47.0,2
2639,Super built-up  Area,Haralur Road,1243.0,2.0,2.0,46.0,2
2640,Super built-up  Area,Haralur Road,1850.0,3.0,2.0,110.0,3
2641,Super built-up  Area,Haralur Road,1225.0,2.0,1.0,67.38,2
2642,Super built-up  Area,Haralur Road,1243.0,2.0,2.0,46.0,2
2643,Super built-up  Area,Haralur Road,3400.0,5.0,3.0,240.0,4
2644,Super built-up  Area,Haralur Road,1464.0,2.0,2.0,56.0,2
2645,Super built-up  Area,Haralur Road,1230.0,2.0,1.0,78.0,2
2646,Built-up  Area,Haralur Road,1000.0,2.0,2.0,44.0,2
2648,Super built-up  Area,Haralur Road,1300.0,2.0,2.0,79.0,2
2649,Super built-up  Area,Haralur Road,1444.0,2.0,1.0,80.0,3
2650,Built-up  Area,Haralur Road,1088.0,2.0,1.0,68.0,2
2651,Super built-up  Area,Haralur Road,1027.0,2.0,1.0,44.0,2
2653,Super built-up  Area,Haralur Road,1225.0,2.0,1.0,70.0,2
2655,Super built-up  Area,Haralur Road,1194.0,2.0,2.0,46.0,2
2656,Super built-up  Area,Haralur Road,1830.0,3.0,2.0,101.0,3
2657,Super built-up  Area,Haralur Road,1810.0,3.0,2.0,126.0,3
2658,Super built-up  Area,Haralur Road,1464.0,2.0,2.0,56.0,2
2659,Super built-up  Area,Haralur Road,1520.0,2.0,2.0,96.0,3
2660,Super built-up  Area,Haralur Road,1300.0,2.0,2.0,75.0,2
2661,Super built-up  Area,Haralur Road,2017.0,2.0,2.0,125.0,3
2662,Super built-up  Area,Haralur Road,1243.0,2.0,2.0,46.0,2
2663,Super built-up  Area,Haralur Road,1027.0,2.0,2.0,44.0,2
2664,Super built-up  Area,Haralur Road,2805.0,5.0,3.0,160.0,4
2665,Super built-up  Area,Haralur Road,1243.0,2.0,2.0,46.0,2
2666,Super built-up  Area,Haralur Road,1027.0,2.0,2.0,44.0,2
2667,Built-up  Area,Haralur Road,2017.0,3.0,2.0,105.0,3
2668,Super built-up  Area,Haralur Road,1243.0,2.0,2.0,46.0,2
2669,Super built-up  Area,Haralur Road,1243.0,2.0,2.0,46.0,2
2670,Super built-up  Area,Haralur Road,1520.0,2.0,2.0,90.0,3
2671,Built-up  Area,Haralur Road,1300.0,2.0,2.0,60.0,2
2672,Super built-up  Area,Haralur Road,1985.0,3.0,2.0,130.0,3
2673,Super built-up  Area,Haralur Road,1255.0,2.0,1.0,90.0,3
2674,Super built-up  Area,Haralur Road,1056.0,2.0,1.0,60.0,2
2675,Super built-up  Area,Haralur Road,1140.0,2.0,1.0,42.0,2
2676,Super built-up  Area,Haralur Road,1245.0,2.0,3.0,62.0,2
2677,Built-up  Area,Haralur Road,1140.0,2.0,2.0,58.0,2
2678,Super built-up  Area,Haralur Road,1140.0,2.0,2.0,42.0,2
2679,Super built-up  Area,Haralur Road,1027.0,2.0,2.0,43.0,2
2680,Super built-up  Area,Haralur Road,1194.0,2.0,2.0,47.0,2
2681,Super built-up  Area,Haralur Road,1194.0,2.0,2.0,47.0,2
2682,Super built-up  Area,Haralur Road,1560.0,3.0,1.0,90.0,3
2683,Super built-up  Area,Haralur Road,1520.0,2.0,2.0,85.0,3
2684,Super built-up  Area,Haralur Road,1243.0,2.0,2.0,45.0,2
2685,Super built-up  Area,Haralur Road,1027.0,2.0,2.0,44.0,2
2686,Super built-up  Area,Haralur Road,1194.0,2.0,2.0,46.0,2
2687,Super built-up  Area,Haralur Road,1650.0,3.0,3.0,100.0,3
2688,Super built-up  Area,Haralur Road,1580.0,3.0,1.0,73.0,3
2689,Super built-up  Area,Haralur Road,1243.0,2.0,2.0,46.0,2
2690,Super built-up  Area,Haralur Road,1194.0,2.0,2.0,47.0,2
2692,Super built-up  Area,Haralur Road,1520.0,2.0,2.0,96.0,3
2693,Super built-up  Area,Haralur Road,1510.0,3.0,2.0,83.05,3
2694,Built-up  Area,Haralur Road,1056.0,2.0,1.0,65.0,2
2695,Super built-up  Area,Haralur Road,1810.0,3.0,2.0,100.0,3
2696,Super built-up  Area,Haralur Road,1243.0,2.0,2.0,46.0,2
2697,Super built-up  Area,Haralur Road,575.0,1.0,1.0,38.0,1
2698,Super built-up  Area,Haralur Road,1194.0,2.0,2.0,46.0,2
2699,Super built-up  Area,Haralur Road,1243.0,2.0,2.0,46.0,2
2700,Super built-up  Area,Haralur Road,1194.0,2.0,2.0,46.0,2
2701,Super built-up  Area,Haralur Road,1140.0,2.0,2.0,43.0,2
2702,Super built-up  Area,Haralur Road,1850.0,3.0,2.0,120.0,3
2703,Super built-up  Area,Haralur Road,1194.0,2.0,2.0,47.0,2
2704,Super built-up  Area,Haralur Road,1194.0,2.0,2.0,47.0,2
2706,Super built-up  Area,Haralur Road,1243.0,2.0,1.0,46.0,2
2707,Super built-up  Area,Haralur Road,1710.0,3.0,2.0,85.0,3
2708,Super built-up  Area,Haralur Road,1730.0,3.0,1.0,95.0,3
2709,Super built-up  Area,Haralur Road,1243.0,2.0,2.0,46.0,2
2710,Super built-up  Area,Haralur Road,1243.0,2.0,2.0,46.0,2
2711,Super built-up  Area,Haralur Road,1243.0,2.0,2.0,46.0,2
2712,Super built-up  Area,Haralur Road,1817.0,3.0,2.0,110.0,3
2713,Super built-up  Area,Haralur Road,1225.0,2.0,1.0,77.0,2
2714,Super built-up  Area,Haralur Road,1285.0,2.0,1.0,78.0,2
2715,Super built-up  Area,Haralur Road,1225.0,2.0,1.0,67.48,2
2716,Super built-up  Area,Haralur Road,1225.0,2.0,1.0,69.84,2
2717,Super built-up  Area,Haralur Road,1200.0,2.0,2.0,46.0,2
2718,Super built-up  Area,Haralur Road,1315.0,2.0,1.0,85.0,2
2719,Built-up  Area,Haralur Road,1976.0,3.0,2.0,92.0,3
2720,Super built-up  Area,Haralur Road,1300.0,2.0,2.0,75.0,2
2721,Super built-up  Area,Haralur Road,1309.0,2.0,1.0,82.0,2
2722,Super built-up  Area,Haralur Road,1027.0,1.0,2.0,44.0,2
2723,Super built-up  Area,Haralur Road,1243.0,2.0,2.0,46.0,2
2724,Super built-up  Area,Haralur Road,1243.0,2.0,2.0,46.0,2
2725,Super built-up  Area,Haralur Road,1140.0,2.0,2.0,43.0,2
2726,Super built-up  Area,Haralur Road,1300.0,2.0,1.0,75.0,2
2727,Super built-up  Area,Haralur Road,1243.0,2.0,2.0,46.0,2
2728,Built-up  Area,Haralur Road,1890.0,3.0,2.0,84.0,3
2729,Super built-up  Area,Haralur Road,1230.0,2.0,1.0,67.65,2
2730,Super built-up  Area,Haralur Road,1194.0,2.0,2.0,46.0,2
2731,Super built-up  Area,Haralur Road,1092.0,2.0,2.0,44.0,2
2733,Super built-up  Area,Haralur Road,1255.0,3.0,1.0,90.0,3
2734,Super built-up  Area,Haralur Road,1735.0,3.0,2.0,97.0,3
2735,Super built-up  Area,Haralur Road,1810.0,3.0,2.0,97.83,3
2736,Super built-up  Area,Haralur Road,1200.0,2.0,2.0,46.0,2
2737,Super built-up  Area,Haralur Road,1243.0,2.0,2.0,46.0,2
2738,Super built-up  Area,Haralur Road,1810.0,3.0,2.0,112.0,3
2739,Super built-up  Area,Harlur,1508.0,2.0,1.0,77.0,2
2740,Super built-up  Area,Harlur,1752.12,3.0,2.0,135.0,3
2743,Super built-up  Area,Harlur,1709.0,3.0,2.0,150.0,3
2744,Super built-up  Area,Harlur,1174.0,2.0,1.0,69.0,2
2745,Super built-up  Area,Harlur,1033.0,2.0,2.0,49.0,2
2746,Built-up  Area,Harlur,1197.0,2.0,1.0,84.0,2
2747,Super built-up  Area,Harlur,1757.0,3.0,2.0,132.0,3
2748,Super built-up  Area,Harlur,1174.0,2.0,1.0,76.0,2
2749,Super built-up  Area,Harlur,1754.0,3.0,2.0,125.0,3
2750,Super built-up  Area,Harlur,1290.0,2.0,1.0,85.0,2
2751,Super built-up  Area,Harlur,1752.12,3.0,2.0,116.0,3
2752,Super built-up  Area,Harlur,1754.0,3.0,2.0,135.0,3
2753,Super built-up  Area,Harlur,1754.0,3.0,2.0,124.0,3
2754,Super built-up  Area,Harlur,1152.0,2.0,2.0,69.0,2
2755,Super built-up  Area,Harlur,1290.0,2.0,1.0,87.0,2
2756,Super built-up  Area,Harlur,1749.0,3.0,2.0,115.0,3
2757,Built-up  Area,Harlur,3385.0,4.0,2.0,260.0,4
2758,Super built-up  Area,Harlur,2240.0,5.0,2.0,155.0,3
2759,Super built-up  Area,Harlur,1758.0,3.0,2.0,133.0,3
2761,Super built-up  Area,Harlur,1197.0,2.0,1.0,79.0,2
2762,Super built-up  Area,Harlur,1174.0,2.0,1.0,78.0,2
2765,Super built-up  Area,Harlur,1200.0,2.0,2.0,52.0,2
2766,Super built-up  Area,Harlur,1197.0,2.0,1.0,79.0,2
2767,Super built-up  Area,Harlur,1749.0,3.0,2.0,112.0,3
2768,Super built-up  Area,Harlur,1174.0,2.0,1.0,75.0,2
2769,Super built-up  Area,Harlur,1750.0,3.0,2.0,136.0,3
2770,Super built-up  Area,Harlur,1620.0,3.0,1.0,110.0,3
2773,Super built-up  Area,Harlur,1762.0,3.0,2.0,133.0,3
2774,Super built-up  Area,Harlur,1756.0,3.0,2.0,131.0,3
2775,Super built-up  Area,Harlur,1755.0,3.0,2.0,130.0,3
2776,Super built-up  Area,Harlur,1864.0,3.0,1.0,140.0,3
2777,Super built-up  Area,Harlur,1331.0,2.0,1.0,88.0,2
2778,Super built-up  Area,Harlur,1752.12,3.0,2.0,133.0,3
2779,Built-up  Area,Harlur,1133.0,2.0,1.0,55.0,2
2780,Super built-up  Area,Harlur,1756.0,3.0,2.0,128.0,3
2781,Super built-up  Area,Harlur,1749.0,3.0,2.0,120.0,3
2782,Built-up  Area,Harlur,1197.0,2.0,1.0,82.0,2
2783,Super built-up  Area,Harlur,1303.0,2.0,1.0,90.0,2
2784,Super built-up  Area,Harlur,1754.0,3.0,2.0,132.0,3
2785,Super built-up  Area,Harlur,1174.0,2.0,1.0,75.0,2
2786,Super built-up  Area,Harlur,1756.0,3.0,2.0,134.0,3
2787,Super built-up  Area,Harlur,1197.0,2.0,1.0,78.0,2
2788,Super built-up  Area,Harlur,1290.0,2.0,1.0,89.9,2
2789,Super built-up  Area,Harlur,1386.0,2.0,2.0,85.0,2
2790,Super built-up  Area,Harlur,1174.0,2.0,1.0,74.0,2
2791,Super built-up  Area,Harlur,1174.0,2.0,1.0,78.0,2
2793,Super built-up  Area,Harlur,1755.0,3.0,2.0,115.0,3
2795,Built-up  Area,Harlur,2569.0,4.0,1.0,175.0,4
2797,Super built-up  Area,Harlur,1197.0,2.0,1.0,77.0,2
2798,Super built-up  Area,Harlur,1752.12,3.0,2.0,125.0,3
2799,Super built-up  Area,Harlur,2569.0,5.0,3.0,180.0,4
2800,Built-up  Area,Harlur,1225.0,2.0,2.0,56.0,2
2801,Super built-up  Area,Harlur,1197.0,2.0,1.0,76.0,2
2803,Super built-up  Area,Harlur,1197.0,2.0,1.0,75.0,2
2804,Super built-up  Area,Harlur,1755.0,3.0,2.0,117.0,3
2805,Super built-up  Area,Harlur,1197.0,2.0,1.0,79.9,2
2806,Super built-up  Area,Harlur,936.0,2.0,1.0,45.0,2
2807,Super built-up  Area,Harlur,2990.0,4.0,1.0,225.0,4
2808,Built-up  Area,Harlur,1370.0,2.0,2.0,88.0,2
2809,Super built-up  Area,Harlur,1335.0,2.0,0.0,72.76,2
2810,Super built-up  Area,Hebbal,1760.0,2.0,2.0,123.0,3
2811,Super built-up  Area,Hebbal,5611.5,4.0,0.0,477.0,4
2813,Super built-up  Area,Hebbal,1349.0,2.0,1.0,98.2,2
2814,Super built-up  Area,Hebbal,2483.0,5.0,2.0,212.0,4
2815,Super built-up  Area,Hebbal,1760.0,2.0,2.0,130.0,3
2816,Super built-up  Area,Hebbal,3450.0,5.0,2.0,260.0,3
2817,Super built-up  Area,Hebbal,1920.0,3.0,2.0,134.0,3
2818,Super built-up  Area,Hebbal,1337.0,2.0,1.0,82.0,2
2819,Super built-up  Area,Hebbal,1349.0,2.0,1.0,98.0,2
2822,Super built-up  Area,Hebbal,1790.0,3.0,2.0,127.0,3
2823,Carpet  Area,Hebbal,687.325,2.0,0.0,42.72,2
2825,Super built-up  Area,Hebbal,1985.0,4.0,2.0,189.0,3
2826,Super built-up  Area,Hebbal,2483.0,5.0,2.0,215.0,4
2827,Super built-up  Area,Hebbal,1080.0,2.0,1.0,54.0,2
2828,Super built-up  Area,Hebbal,812.0,2.0,2.0,55.0,2
2830,Super built-up  Area,Hebbal,3067.0,4.0,2.0,230.0,4
2831,Super built-up  Area,Hebbal,2526.0,2.0,2.0,250.0,3
2832,Super built-up  Area,Hebbal,3067.0,4.0,3.0,230.0,4
2834,Carpet  Area,Hebbal,823.0,2.0,1.0,50.63,2
2835,Super built-up  Area,Hebbal,1420.0,2.0,1.0,123.0,2
2837,Super built-up  Area,Hebbal,1420.0,2.0,1.0,99.39,2
2838,Super built-up  Area,Hebbal,4235.0,4.0,2.0,365.0,4
2839,Super built-up  Area,Hebbal,1700.0,3.0,2.0,124.0,3
2840,Super built-up  Area,Hebbal,3960.0,5.0,3.0,386.0,4
2841,Super built-up  Area,Hebbal,1420.0,2.0,1.0,99.39,2
2843,Super built-up  Area,Hebbal,1440.0,2.0,1.0,115.0,2
2844,Super built-up  Area,Hebbal,1100.0,2.0,1.0,54.0,2
2846,Super built-up  Area,Hebbal,2400.0,4.0,1.0,180.0,3
2848,Built-up  Area,Hebbal,1420.0,2.0,2.0,107.0,2
2849,Super built-up  Area,Hebbal,1320.0,2.0,1.0,92.0,2
2850,Built-up  Area,Hebbal,919.0,2.0,1.0,49.0,2
2851,Super built-up  Area,Hebbal,1645.0,3.0,2.0,135.0,3
2852,Super built-up  Area,Hebbal,2080.0,3.0,3.0,175.0,3
2854,Super built-up  Area,Hebbal,2483.0,5.0,2.0,230.0,4
2855,Super built-up  Area,Hebbal,2600.0,3.0,2.0,195.0,3
2856,Super built-up  Area,Hebbal,1645.0,3.0,2.0,117.0,3
2857,Super built-up  Area,Hebbal,1251.0,2.0,1.0,88.73,2
2858,Super built-up  Area,Hebbal,1645.0,3.0,2.0,121.0,3
2859,Super built-up  Area,Hebbal,1760.0,3.0,2.0,123.0,3
2861,Super built-up  Area,Hebbal,3960.0,5.0,3.0,386.0,4
2862,Super built-up  Area,Hebbal,1645.0,3.0,2.0,120.0,3
2863,Super built-up  Area,Hebbal,1255.0,2.0,1.0,90.0,3
2864,Super built-up  Area,Hebbal,1645.0,3.0,2.0,117.0,3
2867,Super built-up  Area,Hebbal,1636.0,3.0,1.0,119.0,3
2868,Super built-up  Area,Hebbal,2661.0,2.0,2.0,226.5,3
2869,Super built-up  Area,Hebbal,1255.0,2.0,1.0,95.0,3
2872,Super built-up  Area,Hebbal,1255.0,2.0,1.0,95.0,3
2873,Super built-up  Area,Hebbal,1088.0,2.0,2.0,61.45,2
